Device,DeviceDatetime,ActualHumidity,ActualTemp,Controller,DeviceTimestamp,DeviceType,Division
00246B0006B1,2025-02-26 00:15:31+09:00,45.43,14.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:15:31+09:00,43,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:15:32+09:00,39.62,13.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:15:34+09:00,33.54,20.54,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:15:35+09:00,34,18.46,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:15:37+09:00,33.39,18.26,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:15:39+09:00,43.55,13.61,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:15:40+09:00,43.62,14.26,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:18:03+09:00,33.77734375,18.7890625,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:18:04+09:00,37.1796875,17.3984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:18:31+09:00,45.5,14.34,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:18:31+09:00,42.97,14.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:18:32+09:00,39.59,13.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:18:34+09:00,33.46,20.49,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:18:35+09:00,34.13,18.43,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:18:37+09:00,33.22,18.24,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:18:40+09:00,43.56,13.61,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:18:40+09:00,43.53,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:21:03+09:00,33.80859375,18.77734375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:21:04+09:00,37.20703125,17.3984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:21:31+09:00,45.5,14.33,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:21:31+09:00,42.96,14.39,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:21:32+09:00,39.48,13.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:21:33+09:00,33.47,20.43,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:21:35+09:00,34.05,18.42,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:21:37+09:00,33.23,18.21,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:21:40+09:00,43.58,13.6,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:21:40+09:00,43.57,14.23,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:24:03+09:00,33.828125,18.76953125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:24:04+09:00,37.2265625,17.3984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:24:31+09:00,45.43,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:24:31+09:00,42.99,14.38,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:24:32+09:00,39.63,13.46,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:24:34+09:00,33.47,20.44,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:24:35+09:00,33.97,18.44,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:24:37+09:00,33.33,18.24,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:24:40+09:00,43.5,13.59,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:24:40+09:00,43.59,14.23,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:27:03+09:00,33.84765625,18.76953125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:27:05+09:00,37.2578125,17.38671875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:27:31+09:00,45.47,14.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:27:31+09:00,43.04,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:27:32+09:00,39.51,13.42,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:27:34+09:00,33.49,20.4,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:27:35+09:00,34.12,18.36,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:27:37+09:00,33.32,18.21,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:27:40+09:00,43.5,13.58,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:27:40+09:00,43.56,14.23,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:30:03+09:00,33.87890625,18.7578125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:30:31+09:00,45.46,14.33,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:30:31+09:00,42.92,14.38,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:30:32+09:00,39.62,13.38,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:30:34+09:00,33.47,20.32,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:30:35+09:00,33.92,18.4,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:30:37+09:00,33.3,18.22,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:30:40+09:00,43.49,13.57,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:30:40+09:00,43.63,14.21,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:33:04+09:00,33.90625,18.7578125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:33:06+09:00,37.30859375,17.38671875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:33:31+09:00,45.52,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:33:31+09:00,43.06,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
